latitude,longitude,heighting,angle_deg,depth_cgr,feature_identification,anomaly_dim_class,depth,length,width,erf_b31g
16.7360717,82.2937306,4.931,120.49999999999999,0.0,Corrosion,PINH,2.54,15.0,18.0,0.91
16.7360256,82.2932978,5.762,253.99999999999997,0.0,Pipe mill anomaly,AXSL,2.54,40.0,23.0,0.91
16.7356639,82.2899633,8.687,168.99999999999997,0.635,Pipe mill anomaly,AXSL,2.54,60.0,18.0,0.91
16.7368739,82.2863731,10.197,71.5,0.0,Pipe mill anomaly,PINH,2.54,22.0,23.0,0.91
16.7368739,82.2863731,10.197,71.5,0.0,Pipe mill anomaly,PINH,2.54,22.0,23.0,0.91
16.7445342,82.2779092,18.949,230.00000000000006,0.0,Pipe mill anomaly,PITT,1.72,32.0,18.0,0.91
16.7473658,82.2688414,9.234,286.0,0.0,Pipe mill anomaly,PITT,1.72,41.0,23.0,0.91
16.747975,82.2668897,6.53,214.0,0.0,Pipe mill anomaly,CISL,1.72,17.0,18.0,0.91
16.7540322,82.247485,-7.138,351.0,0.0,Pipe mill anomaly,AXSL,2.07,36.0,18.0,0.91
16.7589514,82.2350406,0.444,39.5,0.0,Pipe mill anomaly,AXGR,2.07,61.0,22.0,0.91
16.7617306,82.2328047,0.287,315.50000000000006,0.0,Pipe mill anomaly,PITT,2.07,42.0,22.0,0.91
16.7617817,82.2327819,0.31,315.50000000000006,0.0,Pipe mill anomaly,PITT,2.07,60.0,32.0,0.91
16.7618003,82.2327739,0.316,316.0,0.0,Pipe mill anomaly,PITT,2.07,38.0,24.0,0.91
16.7646269,82.2307264,0.578,268.00000000000006,0.0,Pipe mill anomaly,AXSL,2.07,47.0,18.0,0.91
16.7646267,82.2307103,0.672,269.49999999999994,0.0,Pipe mill anomaly,AXSL,2.07,42.0,18.0,0.91
16.7740031,82.2228367,-23.505,5.999999999999996,0.0,Pipe mill anomaly,PINH,2.54,25.0,18.0,0.91
16.77791,82.2141364,-0.687,285.5,0.0,Pipe mill anomaly,PITT,1.72,72.0,42.0,0.91
16.7808922,82.20969,-2.512,260.0,0.0,Pipe mill anomaly,PITT,1.72,67.0,37.0,0.91
16.7809181,82.2096642,-2.516,296.50000000000006,0.0,Pipe mill anomaly,PITT,1.72,31.0,18.0,0.91
16.7858033,82.2045353,-1.327,231.50000000000006,0.0,Pipe mill anomaly,AXSL,1.72,28.0,16.0,0.91
16.8065622,82.1647997,0.733,117.5,0.0,Pipe mill anomaly,AXGR,2.07,79.0,31.0,0.91
16.8262892,82.1300575,2.78,194.0,0.0,Pipe mill anomaly,PITT,1.72,34.0,18.0,0.91
16.8284192,82.1238069,1.687,303.0,0.0,Pipe mill anomaly,PITT,1.72,31.0,19.0,0.91
16.8365853,82.11252,1.483,346.0,0.0,Pipe mill anomaly,AXGR,1.72,46.0,19.0,0.91
16.8409867,82.1056003,2.126,225.0,0.0,Pipe mill anomaly,AXGR,2.07,49.0,21.0,0.91
16.8501456,82.0912231,2.059,185.00000000000003,0.0,Pipe mill anomaly,PITT,2.07,66.0,47.0,0.91
16.8537383,82.0855933,1.625,258.5,0.0,Pipe mill anomaly,AXGR,1.72,38.0,18.0,0.91
16.8561661,82.0805678,2.939,141.5,0.0,Pipe mill anomaly,PITT,1.72,32.0,18.0,0.91
16.858525,82.0755519,1.831,353.5,0.0,Pipe mill anomaly,PITT,1.72,39.0,23.0,0.91
16.8589633,82.0746181,2.394,355.0,0.0,Pipe mill anomaly,PITT,1.72,31.0,25.0,0.91
16.8602411,82.0713808,3.737,138.0,0.0,Corrosion,AXSL,2.54,33.0,18.0,0.91
16.8602419,82.0713789,3.739,141.0,0.0,Corrosion cluster,AXSL,2.54,110.0,25.0,0.92
16.8602436,82.071375,3.742,131.00000000000003,0.0,Corrosion,PINH,2.54,20.0,18.0,0.91
16.8602528,82.0713519,3.762,282.0,0.0,Corrosion,AXSL,2.54,27.0,18.0,0.91
16.8657344,82.0607875,2.116,253.49999999999994,0.0,Pipe mill anomaly,CISL,2.07,14.0,26.0,0.91
16.8684528,82.0553036,2.543,283.5,0.0,Pipe mill anomaly,AXSL,2.07,22.0,18.0,0.91
16.8769239,82.0368642,2.776,358.0,0.0,Pipe mill anomaly,PITT,1.72,33.0,18.0,0.91
16.8776944,82.0348919,3.717,257.5,0.0,Pipe mill anomaly,PITT,1.72,34.0,20.0,0.91
16.8840428,82.0220567,3.928,249.00000000000003,0.0,Pipe mill anomaly,PITT,1.72,36.0,20.0,0.91
16.8849931,82.0193056,3.1,251.49999999999997,0.0,Pipe mill anomaly,AXGR,1.72,49.0,22.0,0.91
16.8858489,82.0167836,3.108,252.00000000000006,0.0,Pipe mill anomaly,AXGR,1.72,70.0,22.0,0.91
16.8874061,82.0121758,3.058,345.5,0.0,Pipe mill anomaly,PITT,1.72,36.0,20.0,0.91
16.8876311,82.0115661,3.461,189.0,0.0,Pipe mill anomaly,AXGR,1.72,39.0,18.0,0.91
16.8980761,81.9789461,3.747,295.00000000000006,0.0,Pipe mill anomaly,PITT,2.07,28.0,21.0,0.91
16.8992686,81.9698186,4.913,155.0,0.0,Pipe mill anomaly,PITT,1.72,39.0,24.0,0.91
16.9091853,81.9204756,6.858,318.5,0.0,Pipe mill anomaly,PITT,2.07,47.0,31.0,0.91
16.9091853,81.9204672,6.776,320.0,0.0,Pipe mill anomaly,PITT,2.07,42.0,26.0,0.91
16.9037653,81.9056094,8.727,182.50000000000003,0.0,Pipe mill anomaly,PINH,2.07,18.0,18.0,0.91
16.8950814,81.8905083,9.164,341.50000000000006,0.0,Pipe mill anomaly,PITT,1.72,56.0,29.0,0.91
16.8894261,81.8847175,9.478,296.50000000000006,0.0,Pipe mill anomaly,PITT,1.72,45.0,28.0,0.91
16.8829306,81.8724989,9.183,230.00000000000006,0.0,Pipe mill anomaly,PITT,1.72,42.0,24.0,0.91
16.87826,81.8616292,9.801,236.5,0.0,Pipe mill anomaly,AXSL,2.07,38.0,18.0,0.91
16.8686397,81.843655,11.911,115.00000000000004,0.0,Pipe mill anomaly,PITT,1.72,28.0,22.0,0.91
16.8677008,81.8420183,11.602,248.5,0.0,Pipe mill anomaly,AXGR,1.72,38.0,18.0,0.91
16.8659275,81.8392639,11.469,204.5,0.0,Pipe mill anomaly,PITT,1.72,31.0,25.0,0.91
16.8653336,81.8383389,11.482,28.0,0.0,Pipe mill anomaly,AXGR,1.72,41.0,18.0,0.91
16.8647303,81.8373803,11.67,226.50000000000003,0.0,Pipe mill anomaly,PITT,1.72,35.0,21.0,0.91
16.8643958,81.8368731,11.029,60.49999999999999,0.0,Pipe mill anomaly,PITT,1.72,34.0,18.0,0.91
16.8558244,81.8220453,10.643,346.5,0.0,Pipe mill anomaly,PITT,1.72,34.0,18.0,0.91
16.8531911,81.8161136,11.63,73.00000000000001,0.0,Pipe mill anomaly,PITT,1.72,26.0,18.0,0.91
16.8529953,81.815675,11.482,253.99999999999997,0.0,Pipe mill anomaly,PITT,1.72,27.0,21.0,0.91
16.8516939,81.8127203,6.394,208.50000000000003,0.0,Pipe mill anomaly,PITT,2.07,63.0,33.0,0.91
16.8504664,81.8099461,-13.36,51.0,0.0,Pipe mill anomaly,AXGR,2.07,48.0,23.0,0.91
16.84406,81.7954869,-17.351,334.0,0.0,Pipe mill anomaly,PINH,2.07,14.0,18.0,0.91
16.84406,81.7954869,-17.351,352.0,0.0,Pipe mill anomaly,PINH,2.07,15.0,18.0,0.91
16.8430481,81.7932003,-1.869,85.00000000000001,0.0,Pipe mill anomaly,AXSL,2.07,41.0,18.0,0.91
16.8396892,81.78261,10.935,53.0,0.0,Corrosion,PINH,2.54,14.0,18.0,0.91
16.8396892,81.7826089,10.934,50.5,0.0,Corrosion,PINH,2.54,17.0,18.0,0.91
16.83969,81.7826031,10.93,44.0,0.0,Corrosion,AXSL,2.54,47.0,20.0,0.91
16.8404603,81.7675697,-7.095,186.0,0.0,Pipe mill anomaly,PINH,2.54,21.0,18.0,0.91
16.8405003,81.7660178,-21.825,184.00000000000003,0.0,Pipe mill anomaly,PINH,2.54,14.0,18.0,0.91
16.8405031,81.7659533,-22.257,132.0,0.0,Pipe mill anomaly,AXSL,2.54,33.0,18.0,0.91
16.8405175,81.7655436,-24.535,187.00000000000006,0.0,Pipe mill anomaly,AXSL,2.54,27.0,18.0,0.91
16.8405742,81.7638339,-26.705,183.0,0.0,Pipe mill anomaly,PINH,2.54,14.0,18.0,0.91
16.8407219,81.7596836,-29.453,324.0,0.0,Pipe mill anomaly,PINH,2.54,12.0,18.0,0.91
16.8407569,81.7587586,-29.113,345.5,0.0,Pipe mill anomaly,AXSL,2.54,53.0,23.0,0.91
16.84076,81.7586931,-29.058,153.0,0.0,Pipe mill anomaly,AXSL,2.54,42.0,18.0,0.91
16.8407628,81.7586372,-28.991,230.5,0.0,Pipe mill anomaly,PINH,2.54,18.0,18.0,0.91
