heighting,latitude,longitude,feature_identification,length,width,anomaly_dim_class,erf_b31g,depth,angle_deg
13.278,21.04148818,72.93782043,pipe mill anomaly,12.0,18.0,PINH,0.91,2.54,248.0
5.002,21.04577413,72.93573275,corrosion,24.0,28.0,PITT,0.91,1.72,87.0
8.548,21.04840109,72.93491612,pipe mill anomaly,64.0,51.0,PITT,0.91,1.72,114.0
-8.492,21.05274318,72.93178028,corrosion,29.0,18.0,AXSL,0.91,2.79,172.5
13.127,21.06141843,72.92905382,pipe mill anomaly,37.0,24.0,PITT,0.91,1.72,206.5
12.08,21.06250016,72.92894888,pipe mill anomaly,44.0,24.0,PITT,0.91,1.72,50.0
14.971,21.06518146,72.92875231,pipe mill anomaly,55.0,18.0,AXGR,0.91,1.72,333.0
15.493,21.06665909,72.92880131,pipe mill anomaly,41.0,32.0,PITT,0.91,1.72,205.5
13.92,21.06913575,72.92888235,pipe mill anomaly,40.0,21.0,PITT,0.91,1.72,346.5
13.242,21.07191434,72.92913056,pipe mill anomaly,41.0,23.0,PITT,0.91,1.72,307.5
11.382,21.07657989,72.93061098,pipe mill anomaly,22.0,18.0,PITT,0.91,1.72,108.5
13.207,21.07937964,72.93042621,pipe mill anomaly,24.0,23.0,PITT,0.91,1.72,128.0
13.207,21.07937978,72.93042619,pipe mill anomaly,22.0,26.0,PITT,0.91,1.72,119.0
13.352,21.08068025,72.9302361,pipe mill anomaly,43.0,18.0,AXGR,0.91,1.72,110.5
13.639,21.08112891,72.93017291,pipe mill anomaly,36.0,18.0,AXGR,0.91,1.72,7.0
13.607,21.08118583,72.93016479,pipe mill anomaly,21.0,18.0,PITT,0.91,1.72,82.0
13.85,21.08198871,72.93005548,pipe mill anomaly,24.0,18.0,PITT,0.91,1.72,118.5
14.217,21.08278082,72.92994995,pipe mill anomaly,38.0,20.0,PITT,0.91,1.72,159.0
14.506,21.08327516,72.92988301,pipe mill anomaly,19.0,18.0,PITT,0.91,1.72,233.0
14.071,21.08355841,72.929845,pipe mill anomaly,36.0,27.0,PITT,0.91,1.72,358.0
14.031,21.08668817,72.9294362,pipe mill anomaly,41.0,24.0,PITT,0.91,1.72,200.5
15.278,21.09236241,72.92962953,pipe mill anomaly,37.0,26.0,PITT,0.91,1.72,266.5
15.098,21.09284588,72.92960898,pipe mill anomaly,30.0,18.0,PITT,0.91,1.72,209.5
14.311,21.10119182,72.92902953,pipe mill anomaly,29.0,18.0,PITT,0.91,1.72,339.0
15.634,21.10424903,72.92886699,pipe mill anomaly,48.0,29.0,PITT,0.91,1.72,198.0
14.532,21.11615185,72.92800873,pipe mill anomaly,20.0,21.0,PITT,0.91,1.72,137.5
14.534,21.11615289,72.92800874,pipe mill anomaly,26.0,18.0,PITT,0.91,1.72,114.5
16.38,21.11908911,72.92802585,pipe mill anomaly,26.0,18.0,PITT,0.91,1.72,295.5
15.988,21.12109394,72.92805852,pipe mill anomaly,26.0,18.0,PITT,0.91,1.72,107.5
15.464,21.12495638,72.92814516,other anomaly,26.0,17.0,-,,,326.0
15.279,21.13739815,72.92370088,pipe mill anomaly,40.0,28.0,PITT,0.91,1.72,114.0
